step,status,detail,timestamp
load_daily_demand,OK,shape=(5000, 16),"2026-04-22 13:08:31 UTC"
load_sku_master,OK,shape=(5000, 11),"2026-04-22 13:08:31 UTC"
load_warehouses,OK,shape=(5, 4),"2026-04-22 13:08:31 UTC"
load_lane_costs,OK,shape=(20, 7),"2026-04-22 13:08:31 UTC"
join_sku_master,OK,rows_preserved=5000,"2026-04-22 13:08:31 UTC"
join_wh_map,OK,rows_preserved=5000,"2026-04-22 13:08:31 UTC"
join_home_lanes,OK,rows_preserved=5000,"2026-04-22 13:08:31 UTC"
final_validation,OK,rows=5000 cols=33 nulls=0,"2026-04-22 13:08:31 UTC"
write_csv,OK,path=/content/Regional-demand-forecasting-optimizer-final/data/processed/fact_demand_enriched.csv,"2026-04-22 13:08:31 UTC"
