category,revenue,revenue_pct,cum_pct,abc_class,cv,residual_std_mean,mean_demand,xyz_class,abc_xyz,strategy,cv_pct
ELECTRONICS,9898157.15,35.22,35.22,A,0.009284384367610643,2.493275,268.545,X,AX,"Lean replenishment - high value, predictable",0.9284
TOYS,6533506.43658,23.24,58.46,A,0.004404462483031401,1.0653,241.86833333333334,X,AX,"Lean replenishment - high value, predictable",0.4404
PET,4105748.09,14.61,73.07,B,0.005713541053471653,1.32445,231.80895833333332,X,BX,Standard replenishment,0.5714
KITCHEN,3937520.76876,14.01,87.08,B,0.006704102045287896,1.765725,263.3797916666667,X,BX,Standard replenishment,0.6704
HOME,2690942.89,9.57,96.65,C,0.007179000740419753,1.315,183.173125,X,CX,Consolidate SKUs,0.7179
BEAUTY,941488.4148000001,3.35,100.0,C,0.006173842948618284,1.07545,174.19458333333333,X,CX,Consolidate SKUs,0.6174
